id,team,name,role,price
1,Chennai Super Kings,MS Dhoni,Wicket-keeper,4 crore
2,Chennai Super Kings,Vansh Bedi,Wicket-keeper,55 lakh
3,Chennai Super Kings,Devon Conway,Batsman,6.25 crore
4,Chennai Super Kings,Ruturaj Gaikwad,Batsman,18 crore
5,Chennai Super Kings,Shaik Rasheed,Batsman,30 lakh
6,Delhi Capitals,Harry Brook,Batter,6.25 crore
7,Delhi Capitals,Jake Fraser-Mcgurk,Batter,9 crore
8,Delhi Capitals,Faf Du Plessis,Batter,2 crore
9,Delhi Capitals,Tristan Stubbs,Wicket-keeper,10 crore
10,Delhi Capitals,Abishek Porel,Wicket-keeper,4 crore
11,Rajasthan Royals, Sanju Samson,Batter,6.25 crore
